1.1	7.666858899799686e-7
1.5	2.8076702282031234e-6
2.4	4.912674929968425e-6
3.45	5.980496474516765e-6
4.5	6.5501329923930474e-6
5.	6.737335030248544e-6
6	7.018205420803119e-6
8	7.369494631096301e-6
9	7.486676270298667e-6
10	7.580473535805353e-6
12	7.721300432834995e-6
13.8	7.81327953585539e-6
15.85	7.892708907062384e-6
16.7	7.919962545836173e-6
18	7.956707067252589e-6
23	8.059695789346973e-6
27.3	8.118488423579524e-6
31.2	8.158082236051943e-6
36.5	8.198702710593004e-6
46.8	8.25235223843823e-6
54	8.278440685145193e-6
63	8.303475044630448e-6
74.65	8.328201849478516e-6
82.8	8.342287529096236e-6
