1.1	1.033938153544437e-6
1.2	1.9118286461112192e-6
1.3	2.67212516836843e-6
1.4	3.3412049403266756e-6
1.5	3.938934817824289e-6
1.6	4.480518421851969e-6
1.7	4.977425866782917e-6
1.8	5.439941350159226e-6
2	6.2956742747520935e-6
2.1	6.7052490351740296e-6
2.2	7.1154202673077944e-6
2.3	7.5405927533902295e-6
2.4	8.007581159748851e-6
2.5	8.593622398793054e-6
2.51	8.668127694974187e-6
2.52	8.748567330793804e-6
2.53	8.836921806272117e-6
2.54	8.936664484777595e-6
2.55	9.054671462866118e-6
2.56	9.209563734378324e-6
2.562	9.24980837135175e-6
2.563	9.272056530272685e-6
2.5635	9.28387262032352e-6
2.564	9.296235498720151e-6
