1.1	8.54035970512812e-7
1.5	2.7238706568066817e-6
2	4.069425361630241e-6
2.5	4.877007699508051e-6
3.	5.429172043228125e-6
3.5	5.810892703364545e-6
4.	6.0960697347983706e-6
4.5	6.334908444233234e-6
5.	6.500014484961403e-6
6	6.719983215192071e-6
7	6.9339884572194865e-6
8	7.083924543405118e-6
9	7.259586922159222e-6
10	7.326900123172386e-6
11	7.404113843034743e-6
12	7.447482122502347e-6
13	7.512651766794498e-6
13.8	7.58732506045412e-6
14.8	7.678075238159998e-6
15.85	7.629742184933619e-6
16.7	7.944098245671327e-6
18	7.930085420437827e-6
19	7.81089537482682e-6
20	7.87409788349791e-6
21.8	7.90006062301174e-6
22.75	8.03258337311874e-6
23.7	8.097157126019106e-6
24.7	8.00201202977302e-6
25.087	8.26109707186804e-6
