1.1	1.5283183844817634
1.2	1.484790242595616
1.3	1.4402332722660327
1.4	1.3944595385933642
1.5	1.3472940163936917
1.6	1.298522177846309
1.7	1.2476873562581965
1.8	1.194469990486481
2	1.078510126866494
2.1	1.0138571661434481
2.2	0.9426176579938627
2.3	0.8617281702633897
2.4	0.7647589570618001
2.5	0.6323191787452124
2.51	0.6147639564859967
2.52	0.5956564662549336
2.53	0.574505155959623
2.54	0.5504399404114297
2.55	0.5217486797855782
2.56	0.48381269541206134
2.562	0.4739193854548819
2.563	0.4684473450620957
2.5635	0.4655404445290132
2.564	0.4624990093409198
